0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:00 +0900] "GET /jspstudy2/model2/member/main.me HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:00 +0900] "GET /jspstudy2/model2/member/picture/ HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:08 +0900] "GET /jspstudy2/model2/member/main.me HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:08 +0900] "GET /jspstudy2/model2/member/picture/ HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:29 +0900] "GET /jspstudy2/model2/member/main.me HTTP/1.1" 200 6473
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:29 +0900] "GET /jspstudy2/model2/member/picture/ HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:30 +0900] "GET /jspstudy2/model2/ajax/exchange2.do HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:30 +0900] "GET /jspstudy2/model2/ajax/exchange.do HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:12:30 +0900] "GET /jspstudy2/model2/ajax/graph.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:13:35 +0900] "GET /jspstudy2/model2/member/main.me HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:13:35 +0900] "GET /jspstudy2/model2/member/picture/ HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:13:35 +0900] "GET /jspstudy2/model2/ajax/graph.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:13:36 +0900] "GET /jspstudy2/model2/ajax/exchange2.do HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [30/Dec/2020:10:13:36 +0900] "GET /jspstudy2/model2/ajax/exchange.do HTTP/1.1" 200 237
